away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
33.3,6,3.4,1,89.6,66.7,22,0.364,55,0.327,18,0.255,14,0.714,10,2,200,74.6,22.6,7,20,50,,9.0,6,0.382,21,0.19,4,45.3,29,0.406,17.5,13,34,0.412,14,0.0,0,"November 27, 2020",55.0,11,8.8,3,74.6,77.4,24,0.469,49,0.408,20,0.449,22,0.636,14,1,200,89.6,33.3,11,20,60,,6.0,4,0.408,20,0.3,6,54.7,35,0.505,22.5,17,29,0.483,14,0.5,1,"Mitchell Center, Mobile, Alabama",FLORIDA-ATLANTIC,Florida Atlantic,66.6,Home,JACKSONVILLE-STATE,Jacksonville State
26.7,4,0.0,0,123.9,60.0,21,0.316,57,0.263,15,0.193,11,0.455,5,0,200,61.2,19.6,9,17,41,,7.5,5,0.316,18,0.333,6,37.0,30,0.329,18.5,14,39,0.231,9,0.0,0,"November 28, 2020",58.6,17,17.9,7,61.2,80.4,37,0.548,62,0.468,29,0.274,17,0.882,15,2,200,123.9,40.0,14,14,83,,10.4,7,0.435,27,0.37,10,63.0,51,0.592,13.7,11,35,0.543,19,0.333,1,"Mitchell Center, Mobile, Alabama","Mobile
			","Mobile
			",67.2,Home,FLORIDA-ATLANTIC,Florida Atlantic
34.8,8,13.3,4,94.2,77.8,14,0.52,50,0.46,23,0.18,9,0.444,4,1,200,81.2,20.7,6,14,56,,13.0,9,0.38,19,0.316,6,42.6,20,0.516,27.0,20,31,0.548,17,0.0,0,"November 25, 2020",55.2,16,6.5,2,81.2,79.3,23,0.627,51,0.569,29,0.059,3,0.333,1,0,200,94.2,22.2,4,17,65,,13.0,9,0.412,21,0.286,6,57.4,27,0.62,29.6,22,30,0.767,23,1.0,1,"Alico Arena, Fort Myers, Florida",FLORIDA-AM,Florida A&M,69.4,Home,FLORIDA-GULF-COAST,Florida Gulf Coast
41.9,13,0.0,0,97.7,61.7,29,0.548,63,0.492,31,0.365,23,0.522,12,0,200,93.1,27.3,9,23,81,,10.3,9,0.381,24,0.292,7,47.5,38,0.548,23.1,22,39,0.615,24,0.0,0,"November 25, 2020",53.8,14,12.8,5,93.1,72.7,24,0.45,70,0.371,26,0.5,35,0.629,22,0,200,97.7,38.3,18,23,85,,11.5,10,0.586,41,0.268,11,52.5,42,0.491,17.4,18,29,0.517,15,1.0,1,"FIU Arena, Miami, Florida","Flagler
			","Flagler
			",86.8,Home,FLORIDA-INTERNATIONAL,Florida International
51.7,15,9.7,3,100.0,82.5,33,0.515,67,0.433,29,0.149,10,0.6,6,0,200,91.5,25.0,9,17,75,,4.9,4,0.328,22,0.5,11,55.3,42,0.523,20.1,18,45,0.4,18,0.0,0,"November 27, 2020",50.0,15,8.9,4,91.5,75.0,27,0.507,72,0.417,30,0.236,17,0.529,9,0,200,100.0,17.5,7,15,82,,15.9,13,0.569,41,0.317,13,44.7,34,0.512,11.2,10,31,0.548,17,1.0,2,"FIU Arena, Miami, Florida","Flagler
			","Flagler
			",81.9,Home,FLORIDA-INTERNATIONAL,Florida International
47.1,8,4.8,2,117.6,65.5,19,0.333,63,0.27,17,0.206,13,0.385,5,0,200,63.5,23.4,11,26,47,,10.8,8,0.476,30,0.267,8,39.5,30,0.34,18.9,16,33,0.273,9,0.0,0,"November 25, 2020",32.3,10,21.2,7,63.5,76.6,36,0.632,53,0.585,31,0.623,33,0.606,20,0,200,117.6,34.5,10,16,87,,12.2,9,0.208,11,0.455,5,60.5,46,0.633,19.2,16,42,0.619,26,1.0,1,"Save Mart Center, Fresno, California","William Jessup
			","William Jessup
			",74.4,Home,FRESNO-STATE,Fresno State
37.5,9,4.4,2,125.0,68.8,22,0.433,60,0.4,24,0.3,18,0.556,10,0,200,81.6,11.1,4,15,62,,3.9,3,0.35,21,0.19,4,38.2,26,0.452,15.0,12,39,0.513,20,0.0,0,"November 25, 2020",71.4,25,10.3,4,81.6,88.9,32,0.576,66,0.53,35,0.364,24,0.792,19,0,200,125.0,31.3,10,18,95,,9.2,7,0.318,21,0.286,6,61.8,42,0.614,9.5,8,45,0.644,29,1.0,1,"Timmons Arena, Greenville, South Carolina","Tusculum
			","Tusculum
			",76.0,Home,FURMAN,Furman
44.0,11,10.0,3,113.8,74.1,20,0.439,66,0.379,25,0.152,10,0.5,5,2,200,78.8,26.2,11,25,63,,12.5,10,0.318,21,0.381,8,44.9,31,0.445,23.0,21,45,0.378,17,0.0,0,"November 28, 2020",67.9,19,8.9,4,78.8,73.8,31,0.615,52,0.538,28,0.654,34,0.794,27,0,200,113.8,25.9,7,18,91,,13.8,11,0.423,22,0.364,8,55.1,38,0.668,22.1,19,30,0.667,20,1.0,2,"Timmons Arena, Greenville, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,80.5,Home,FURMAN,Furman
39.3,11,11.8,4,108.5,79.2,19,0.483,60,0.467,28,0.233,14,0.643,9,1,200,94.4,36.4,12,19,67,,19.7,14,0.383,23,0.087,2,54.4,31,0.503,17.5,14,37,0.703,26,0.5,1,"November 27, 2020",46.4,13,0.0,0,94.4,63.6,21,0.604,53,0.528,28,0.321,17,0.765,13,0,200,108.5,20.8,5,13,77,,8.5,6,0.358,19,0.421,8,45.6,26,0.63,21.9,17,34,0.588,20,1.0,2,,GEORGE-MASON,George Mason,70.9,Home,BELMONT,Belmont
81.5,22,9.7,3,101.4,78.9,30,0.538,66,0.409,27,0.273,18,0.722,13,1,200,121.7,32.4,12,17,84,,7.2,5,0.636,42,0.405,17,56.0,42,0.563,8.7,7,24,0.417,10,0.667,2,"November 28, 2020",52.2,12,25.0,6,121.7,67.6,25,0.467,61,0.377,23,0.246,15,0.867,13,3,200,101.4,21.1,8,17,70,,5.8,4,0.492,30,0.367,11,44.0,33,0.514,11.7,9,31,0.387,12,0.0,0,,HOWARD,Howard,69.3,Away,GEORGE-MASON,George Mason
58.3,14,9.8,4,111.4,70.6,24,0.548,52,0.462,24,0.442,23,0.609,14,1,200,101.4,20.0,6,13,71,,4.3,3,0.558,29,0.31,9,46.9,30,0.564,20.5,16,23,0.652,15,0.0,0,"November 25, 2020",83.9,26,8.7,2,101.4,80.0,24,0.563,64,0.484,31,0.141,9,0.667,6,0,200,111.4,29.4,10,14,78,,8.6,6,0.359,23,0.435,10,53.1,34,0.571,10.5,8,41,0.512,21,1.0,1,"Alumni Hall, Annapolis, Maryland",GEORGE-WASHINGTON,George Washington,69.6,Home,NAVY,Navy
56.5,13,4.2,2,86.4,58.0,29,0.4,65,0.354,23,0.215,14,0.714,10,1,200,76.5,16.7,7,19,62,,14.8,12,0.369,24,0.25,6,39.1,36,0.433,18.4,16,41,0.415,17,0.0,0,"November 25, 2020",53.6,15,7.3,3,76.5,83.3,35,0.42,75,0.373,28,0.187,14,0.5,7,0,200,86.4,42.0,21,19,70,,9.9,8,0.36,27,0.259,7,60.9,56,0.429,19.8,20,48,0.438,21,1.0,1,"McDonough Gymnasium, Washington, District of Columbia",MARYLAND-BALTIMORE-COUNTY,UMBC,80.7,Home,GEORGETOWN,Georgetown
56.5,13,1.8,1,126.0,45.7,21,0.459,61,0.377,23,0.197,12,0.75,9,0,200,84.4,13.9,5,24,65,,11.7,9,0.541,33,0.303,10,31.7,26,0.487,20.4,17,28,0.464,13,0.0,0,"November 25, 2020",46.3,19,7.1,2,84.4,86.1,31,0.571,77,0.532,41,0.338,26,0.346,9,0,200,126.0,54.3,25,16,97,,11.7,9,0.26,20,0.3,6,68.3,56,0.543,11.1,11,57,0.614,35,1.0,1,"Hanner Fieldhouse, Statesboro, Georgia","Florida National University
			","Florida National University
			",77.0,Home,GEORGIA-SOUTHERN,Georgia Southern
34.6,9,5.9,2,113.8,91.7,22,0.508,59,0.441,26,0.508,30,0.633,19,0,200,98.8,22.9,8,21,79,,6.3,5,0.424,25,0.32,8,50.8,30,0.539,18.1,16,34,0.529,18,0.0,0,"November 28, 2020",62.5,20,11.8,4,98.8,77.1,27,0.689,53,0.604,32,0.509,27,0.667,18,0,200,113.8,8.3,2,23,91,,10.0,8,0.358,19,0.474,9,49.2,29,0.691,18.8,15,34,0.676,23,1.0,2,"Hanner Fieldhouse, Statesboro, Georgia","Coastal Georgia
			","Coastal Georgia
			",80.0,Home,GEORGIA-SOUTHERN,Georgia Southern
34.8,16,15.4,10,104.3,54.7,35,0.537,95,0.484,46,0.4,38,0.553,21,0,300,107.0,35.7,20,36,123,,7.0,8,0.316,30,0.333,10,45.8,55,0.544,14.5,19,65,0.554,36,1.0,1,"November 25, 2020",33.3,12,6.2,4,107.0,64.3,36,0.403,98,0.367,36,0.602,59,0.695,41,1,300,104.3,45.3,29,28,120,,10.4,12,0.337,33,0.212,7,54.2,65,0.476,14.5,21,65,0.446,29,0.0,0,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,76.7,Away,GEORGIA-STATE,Georgia State
54.5,12,5.6,2,138.2,65.6,21,0.43,64,0.344,22,0.141,9,0.556,5,0,200,78.9,15.0,6,13,60,,3.9,3,0.5,32,0.344,11,37.5,27,0.439,17.1,14,32,0.344,11,0.0,0,"November 27, 2020",53.7,22,15.6,5,78.9,85.0,34,0.671,73,0.562,41,0.192,14,0.5,7,0,200,138.2,34.4,11,12,105,,10.5,8,0.507,37,0.432,16,62.5,45,0.659,8.1,7,36,0.694,25,1.0,2,"GSU Sports Arena, Atlanta, Georgia","Toccoa Falls
			","Toccoa Falls
			",76.0,Home,GEORGIA-STATE,Georgia State
34.8,16,15.4,10,104.3,54.7,35,0.537,95,0.484,46,0.4,38,0.553,21,0,300,107.0,35.7,20,36,123,,7.0,8,0.316,30,0.333,10,45.8,55,0.544,14.5,19,65,0.554,36,1.0,1,"November 25, 2020",33.3,12,6.2,4,107.0,64.3,36,0.403,98,0.367,36,0.602,59,0.695,41,1,300,104.3,45.3,29,28,120,,10.4,12,0.337,33,0.212,7,54.2,65,0.476,14.5,21,65,0.446,29,0.0,0,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,76.7,Away,GEORGIA-STATE,Georgia State
81.5,22,10.8,4,101.4,77.4,24,0.541,61,0.443,27,0.295,18,0.944,17,0,200,115.3,21.9,7,11,83,,11.1,8,0.41,25,0.48,12,49.2,31,0.597,11.6,9,36,0.417,15,1.0,2,"November 27, 2020",57.1,16,2.8,1,115.3,78.1,25,0.525,61,0.459,28,0.18,11,0.818,9,2,200,101.4,22.6,7,15,73,,6.9,5,0.393,24,0.333,8,50.8,32,0.551,17.5,14,37,0.541,20,0.0,0,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,72.4,Away,MERCER,Mercer
30.3,10,6.8,3,125.9,78.3,18,0.597,62,0.532,33,0.387,24,0.667,16,1,200,111.1,17.2,5,19,90,6,7.4,6,0.29,18,0.444,8,44.2,23,0.613,17.1,15,44,0.568,25,0.0,0,"November 26, 2020",40.0,16,0.0,0,111.1,82.8,24,0.694,62,0.645,40,0.323,20,0.8,16,0,200,125.9,21.7,5,15,102,1,9.9,8,0.29,18,0.333,6,55.8,29,0.713,15.5,13,44,0.773,34,1.0,1,"Suncoast Credit Union Arena, Fort Myers, Florida",KANSAS,Kansas,81.5,Home,GONZAGA,Gonzaga
52.8,19,16.7,4,87.0,76.3,29,0.574,68,0.529,36,0.25,17,0.706,12,0,200,116.9,30.3,10,17,90,1,9.1,7,0.309,21,0.286,6,54.9,39,0.592,15.6,14,47,0.638,30,1.0,2,"November 27, 2020",54.5,12,14.9,7,116.9,69.7,23,0.466,59,0.373,22,0.254,15,0.8,12,1,200,87.0,23.7,9,17,67,,11.7,9,0.593,35,0.314,11,45.1,32,0.507,20.6,17,24,0.458,11,0.5,1,"Suncoast Credit Union Arena, Fort Myers, Florida",AUBURN,Auburn,77.1,Away,GONZAGA,Gonzaga
23.8,5,10.8,4,98.6,66.7,22,0.371,58,0.362,21,0.328,19,0.526,10,1,200,75.7,15.8,6,15,53,,15.7,11,0.172,10,0.1,1,39.4,28,0.395,11.9,9,48,0.417,20,0.0,0,"November 25, 2020",50.0,12,4.2,2,75.7,84.2,32,0.466,58,0.414,24,0.379,22,0.682,15,0,200,98.6,33.3,11,17,69,,7.1,5,0.362,21,0.286,6,60.6,43,0.504,16.1,13,37,0.486,18,1.0,1,"Grand Canyon University Arena, Phoenix, Arizona",GRAMBLING,Grambling,70.2,Home,GRAND-CANYON,Grand Canyon
57.9,11,5.7,2,96.1,69.4,25,0.353,58,0.328,19,0.328,19,0.737,14,2,200,71.4,18.9,7,24,55,,5.2,4,0.379,22,0.136,3,43.8,32,0.41,20.4,17,36,0.444,16,0.0,0,"November 27, 2020",73.9,17,8.3,3,71.4,81.1,30,0.442,60,0.383,23,0.483,29,0.724,21,0,200,96.1,30.6,11,21,74,,9.1,7,0.417,25,0.28,7,56.2,41,0.502,16.1,14,35,0.457,16,1.0,1,"McKale Center, Tucson, Arizona",GRAMBLING,Grambling,76.9,Home,ARIZONA,Arizona
23.8,5,10.8,4,98.6,66.7,22,0.371,58,0.362,21,0.328,19,0.526,10,1,200,75.7,15.8,6,15,53,,15.7,11,0.172,10,0.1,1,39.4,28,0.395,11.9,9,48,0.417,20,0.0,0,"November 25, 2020",50.0,12,4.2,2,75.7,84.2,32,0.466,58,0.414,24,0.379,22,0.682,15,0,200,98.6,33.3,11,17,69,,7.1,5,0.362,21,0.286,6,60.6,43,0.504,16.1,13,37,0.486,18,1.0,1,"Grand Canyon University Arena, Phoenix, Arizona",GRAMBLING,Grambling,70.2,Home,GRAND-CANYON,Grand Canyon
61.1,11,0.0,0,134.3,60.0,18,0.423,52,0.346,18,0.385,20,0.95,19,0,200,90.0,9.7,3,12,63,,5.7,4,0.538,28,0.286,8,34.4,21,0.512,15.3,11,24,0.417,10,0.0,0,"November 28, 2020",51.3,20,12.5,3,90.0,90.3,28,0.61,68,0.574,39,0.265,18,0.611,11,0,200,134.3,40.0,12,21,94,,10.0,7,0.235,16,0.313,5,65.6,40,0.614,6.2,5,52,0.654,34,1.0,2,"Grand Canyon University Arena, Phoenix, Arizona","Benedictine
			","Benedictine
			",69.5,Home,GRAND-CANYON,Grand Canyon
45.8,11,2.2,1,106.5,70.0,28,0.386,66,0.364,24,0.318,21,0.857,18,1,200,74.2,20.5,8,25,69,,7.5,7,0.242,16,0.188,3,45.6,36,0.454,23.4,23,50,0.42,21,0.0,0,"November 25, 2020",50.0,17,8.0,4,74.2,79.5,31,0.475,79,0.43,34,0.38,30,0.8,24,0,200,106.5,30.0,12,21,99,,14.0,13,0.43,34,0.206,7,54.4,43,0.531,12.4,13,45,0.6,27,1.0,1,"Williams Arena, Minneapolis, Minnesota",GREEN-BAY,Green Bay,92.6,Home,MINNESOTA,Minnesota
25.0,4,0.0,0,101.5,59.5,22,0.36,50,0.32,16,0.54,27,0.778,21,1,200,83.8,30.0,9,15,57,,11.8,8,0.3,15,0.267,4,46.3,31,0.454,19.5,15,35,0.343,12,0.0,0,"November 27, 2020",42.9,12,25.7,9,83.8,70.0,21,0.484,63,0.444,28,0.222,14,0.571,8,0,200,101.5,40.5,15,24,69,,10.3,7,0.302,19,0.263,5,53.7,36,0.495,14.8,12,44,0.523,23,1.0,2,"Harry A. Gampel Pavilion, Storrs, Connecticut",HARTFORD,Hartford,67.7,Home,CONNECTICUT,UConn
33.3,9,6.5,2,120.6,67.9,19,0.543,58,0.466,27,0.224,13,0.769,10,1,200,107.4,19.4,6,17,73,,2.9,2,0.293,17,0.529,9,42.4,25,0.569,13.6,10,41,0.439,18,0.0,0,"November 25, 2020",67.7,21,12.2,5,107.4,80.6,25,0.619,59,0.525,31,0.203,12,0.75,9,0,200,120.6,32.1,9,15,82,,4.4,3,0.475,28,0.393,11,57.6,34,0.634,15.7,12,31,0.645,20,1.0,1,"Belk Arena, Davidson, North Carolina",HIGH-POINT,High Point,67.9,Home,DAVIDSON,Davidson
45.0,9,9.1,3,108.6,77.4,24,0.549,41,0.488,20,1.0,41,0.732,30,2,200,107.1,11.8,2,23,75,,2.9,2,0.366,15,0.333,5,54.2,26,0.62,14.5,10,26,0.577,15,0.0,0,"November 28, 2020",41.7,10,7.7,2,107.1,88.2,15,0.475,59,0.407,24,0.458,27,0.741,20,0,200,108.6,22.6,7,24,76,,8.6,6,0.441,26,0.308,8,45.8,22,0.529,9.0,7,33,0.485,16,1.0,2,"Schar Center, Elon, North Carolina",HIGH-POINT,High Point,70.2,Home,ELON,Elon
61.1,11,5.7,2,106.2,67.6,23,0.348,56,0.321,18,0.125,7,0.857,6,1,200,69.2,20.0,7,9,45,,6.2,4,0.232,13,0.231,3,43.5,30,0.379,16.9,12,43,0.349,15,0.0,0,"November 25, 2020",53.6,15,16.3,7,69.2,80.0,28,0.516,61,0.459,28,0.213,13,0.462,6,0,200,106.2,32.4,11,14,69,,12.3,8,0.426,26,0.269,7,56.5,39,0.514,13.0,10,35,0.6,21,1.0,1,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",HOUSTON-BAPTIST,Houston Baptist,65.3,Home,TEXAS-CHRISTIAN,TCU
53.3,8,0.0,0,120.3,53.8,21,0.31,50,0.3,15,0.44,22,0.636,14,1,200,60.8,19.4,7,19,45,,4.1,3,0.26,13,0.077,1,37.3,28,0.372,26.9,22,37,0.378,14,0.0,0,"November 25, 2020",53.3,16,21.6,8,60.8,80.6,29,0.507,72,0.417,30,0.292,21,0.762,16,0,200,120.3,46.2,18,18,89,17,14.9,11,0.458,33,0.394,13,62.7,47,0.543,10.0,9,39,0.436,17,1.0,1,"Hofheinz Pavilion, Houston, Texas",LAMAR,Lamar,74.2,Home,HOUSTON,Houston
52.4,11,4.8,2,97.1,55.9,19,0.422,51,0.412,21,0.51,26,0.577,15,1,200,82.9,13.9,5,16,58,,12.9,9,0.314,16,0.063,1,34.3,24,0.458,17.2,13,35,0.571,20,0.0,0,"November 27, 2020",12.5,3,2.9,1,82.9,86.1,31,0.449,59,0.407,24,0.288,17,0.882,15,0,200,97.1,44.1,15,24,68,17,10.0,7,0.288,17,0.294,5,65.7,46,0.507,19.4,16,42,0.452,19,1.0,2,"Hofheinz Pavilion, Houston, Texas",BOISE-STATE,Boise State,69.7,Home,HOUSTON,Houston
45.9,17,11.1,4,100.0,75.0,27,0.568,73,0.507,37,0.219,16,0.75,12,0,200,121.8,30.6,11,15,95,,14.1,11,0.452,33,0.273,9,52.8,38,0.589,11.1,10,40,0.7,28,1.0,1,"November 26, 2020",58.1,18,12.5,5,121.8,69.4,25,0.57,64,0.484,31,0.203,13,0.385,5,1,200,100.0,25.0,9,16,78,,7.7,6,0.438,28,0.393,11,47.2,34,0.556,18.7,16,36,0.556,20,0.0,0,,HOWARD,Howard,78.4,Away,BELMONT,Belmont
81.5,22,9.7,3,101.4,78.9,30,0.538,66,0.409,27,0.273,18,0.722,13,1,200,121.7,32.4,12,17,84,,7.2,5,0.636,42,0.405,17,56.0,42,0.563,8.7,7,24,0.417,10,0.667,2,"November 28, 2020",52.2,12,25.0,6,121.7,67.6,25,0.467,61,0.377,23,0.246,15,0.867,13,3,200,101.4,21.1,8,17,70,,5.8,4,0.492,30,0.367,11,44.0,33,0.514,11.7,9,31,0.387,12,0.0,0,,HOWARD,Howard,69.3,Away,GEORGE-MASON,George Mason
64.7,11,2.3,1,93.9,71.9,23,0.429,49,0.347,17,0.245,12,0.583,7,1,200,74.2,25.8,8,23,49,,3.0,2,0.449,22,0.364,8,49.2,31,0.448,25.9,19,27,0.333,9,0.0,0,"November 25, 2020",41.7,10,14.8,4,74.2,74.2,23,0.464,56,0.429,24,0.321,18,0.556,10,0,200,93.9,28.1,9,17,62,,16.7,11,0.214,12,0.333,4,50.8,32,0.48,13.5,10,44,0.455,20,1.0,1,"Leavey Center, Santa Clara, California",IDAHO-STATE,Idaho State,65.6,Home,SANTA-CLARA,Santa Clara
42.3,11,9.5,2,68.0,80.8,21,0.527,56,0.464,26,0.321,18,0.611,11,0,200,93.3,20.7,6,27,70,,17.3,13,0.25,14,0.5,7,49.1,27,0.542,20.0,16,42,0.452,19,1.0,2,"November 27, 2020",71.4,10,9.5,4,93.3,79.3,23,0.413,40,0.35,14,0.675,27,0.667,18,2,200,68.0,19.2,5,20,51,,1.3,1,0.475,19,0.263,5,50.9,28,0.483,35.1,28,21,0.429,9,0.0,0,"Leavey Center, Santa Clara, California",IDAHO-STATE,Idaho State,75.2,Away,NICHOLLS-STATE,Nicholls State
54.2,13,11.1,4,100.0,84.6,22,0.482,57,0.421,24,0.211,12,0.5,6,3,200,87.1,38.2,13,17,61,,4.3,3,0.404,23,0.304,7,58.3,35,0.486,24.3,20,34,0.5,17,0.0,0,"November 28, 2020",61.5,16,8.8,3,87.1,61.8,21,0.537,54,0.481,26,0.259,14,0.857,12,2,200,100.0,15.4,4,17,70,,17.1,12,0.333,18,0.333,6,41.7,25,0.577,17.8,13,36,0.556,20,0.333,1,"Leavey Center, Santa Clara, California",IDAHO-STATE,Idaho State,69.7,Home,CALIFORNIA-DAVIS,UC-Davis
66.7,16,2.1,1,92.4,63.6,21,0.492,60,0.4,24,0.15,9,0.667,6,0,200,98.5,15.2,5,13,65,,6.1,4,0.55,33,0.333,11,39.4,26,0.506,11.1,8,27,0.481,13,1.0,1,"November 25, 2020",34.8,8,7.4,2,98.5,84.8,28,0.43,57,0.404,23,0.298,17,0.706,12,1,200,92.4,36.4,12,13,61,,6.1,4,0.175,10,0.3,3,60.6,40,0.469,15.7,12,47,0.426,20,0.0,0,"Convocation Center, DeKalb, Illinois",NORTHERN-ILLINOIS,Northern Illinois,66.2,Away,ILLINOIS-CHICAGO,UIC
26.9,7,11.4,5,93.7,65.6,21,0.403,67,0.388,26,0.418,28,0.643,18,1,200,91.1,22.0,9,22,72,,20.3,16,0.269,18,0.111,2,41.1,30,0.448,8.1,7,49,0.49,24,0.0,0,"November 28, 2020",64.0,16,14.3,7,91.1,78.0,32,0.475,60,0.417,25,0.417,25,0.68,17,0,200,93.7,34.4,11,20,74,,5.1,4,0.267,16,0.438,7,58.9,43,0.515,21.1,19,44,0.409,18,1.0,2,"UIC Pavilion, Chicago, Illinois",CENTRAL-MICHIGAN,Central Michigan,79.1,Home,ILLINOIS-CHICAGO,UIC
54.5,12,10.9,5,120.5,66.7,24,0.465,57,0.386,22,0.333,19,0.737,14,1,200,85.9,16.1,5,26,67,,2.6,2,0.351,20,0.45,9,43.3,29,0.507,19.7,16,37,0.351,13,0.0,0,"November 25, 2020",54.8,17,8.1,3,85.9,83.9,26,0.531,64,0.484,31,0.563,36,0.722,26,0,200,120.5,33.3,12,16,94,23,10.3,8,0.281,18,0.333,6,56.7,38,0.58,11.1,10,46,0.543,25,1.0,1,"Value City Arena, Columbus, Ohio",ILLINOIS-STATE,Illinois State,78.1,Home,OHIO-STATE,Ohio State
28.0,7,10.0,4,107.9,79.4,27,0.474,58,0.431,25,0.466,27,0.63,17,1,200,94.7,21.2,7,19,72,,6.6,5,0.397,23,0.217,5,50.7,34,0.508,15.7,13,35,0.571,20,0.5,1,"November 28, 2020",25.8,8,8.6,3,94.7,78.8,26,0.522,67,0.463,31,0.254,17,0.706,12,1,200,107.9,20.6,7,23,82,,7.9,6,0.403,27,0.296,8,49.3,33,0.546,9.7,8,40,0.575,23,0.5,1,"Value City Arena, Columbus, Ohio",MASSACHUSETTS-LOWELL,UMass-Lowell,76.5,Home,ILLINOIS-STATE,Illinois State
45.5,10,0.0,0,147.0,40.0,12,0.383,64,0.344,22,0.328,21,0.524,11,1,200,72.3,9.1,4,21,60,,10.8,9,0.297,19,0.263,5,21.6,16,0.406,14.1,12,45,0.378,17,0.0,0,"November 25, 2020",70.5,31,8.9,4,72.3,90.9,40,0.7,75,0.587,44,0.32,24,0.708,17,0,200,147.0,60.0,18,18,122,8,6.0,5,0.413,31,0.548,17,78.4,58,0.706,14.9,15,44,0.614,27,1.0,1,"State Farm Center, Champaign, Illinois",NORTH-CAROLINA-AT,North Carolina A&T,82.7,Home,ILLINOIS,Illinois
40.0,6,2.4,1,131.1,31.8,7,0.315,54,0.278,15,0.185,10,0.4,4,2,200,51.4,2.6,1,22,38,,12.2,9,0.444,24,0.167,4,13.3,8,0.323,20.4,15,30,0.367,11,0.0,0,"November 26, 2020",44.4,16,10.0,3,51.4,97.4,37,0.658,60,0.6,36,0.4,24,0.75,18,0,200,131.1,68.2,15,14,97,8,8.1,6,0.3,18,0.389,7,86.7,52,0.679,20.3,18,42,0.69,29,1.0,2,"State Farm Center, Champaign, Illinois",CHICAGO-STATE,Chicago State,73.6,Home,ILLINOIS,Illinois
51.6,16,7.0,3,105.5,65.5,19,0.546,65,0.477,31,0.138,9,0.444,4,1,200,102.7,8.6,3,18,75,,13.7,10,0.292,19,0.474,9,34.4,22,0.541,8.0,6,46,0.478,22,0.667,2,"November 27, 2020",50.0,14,2.2,1,102.7,91.4,32,0.534,58,0.483,28,0.414,24,0.625,15,0,200,105.5,34.5,10,14,77,8,4.1,3,0.259,15,0.4,6,65.6,42,0.555,18.0,15,43,0.512,22,1.0,3,"State Farm Center, Champaign, Illinois",OHIO,Ohio,73.3,Home,ILLINOIS,Illinois
50.0,13,7.3,3,71.6,83.9,26,0.475,59,0.441,26,0.373,22,0.545,12,0,200,91.9,32.4,11,19,68,,12.2,9,0.475,28,0.143,4,56.9,37,0.49,18.9,16,31,0.71,22,1.0,1,"November 27, 2020",47.4,9,6.5,2,91.9,67.6,23,0.404,52,0.365,19,0.423,22,0.5,11,1,200,71.6,16.1,5,18,53,,4.1,3,0.212,11,0.364,4,43.1,28,0.424,20.6,16,41,0.366,15,0.0,0,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,74.0,Away,RICE,Rice
