away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
33.3,9,10.5,4,107.3,75.9,22,0.492,61,0.443,27,0.754,46,0.739,34,0,200,114.6,33.3,13,26,94,18,8.5,7,0.328,20,0.3,6,51.5,35,0.567,12.9,12,41,0.512,21,1.0,1,"November 25, 2020",48.3,14,4.9,2,114.6,66.7,26,0.598,56,0.518,29,0.625,35,0.6,21,1,200,107.3,24.1,7,29,88,,9.8,8,0.321,18,0.5,9,48.5,33,0.606,18.3,16,38,0.526,20,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",RHODE-ISLAND,Rhode Island,81.7,Away,ARIZONA-STATE,Arizona State
35.7,10,0.0,0,98.7,94.1,32,0.552,58,0.483,28,0.466,27,0.704,19,0,200,110.7,29.0,9,19,83,3,8.0,6,0.414,24,0.333,8,63.1,41,0.586,13.6,11,34,0.588,20,1.0,2,"November 26, 2020",30.8,8,11.8,4,110.7,71.0,22,0.517,60,0.433,26,0.35,21,0.571,12,1,200,98.7,5.9,2,22,74,18,6.7,5,0.467,28,0.357,10,36.9,24,0.529,11.5,9,32,0.5,16,0.5,1,"Mohegan Sun Arena, Uncasville, Connecticut",ARIZONA-STATE,Arizona State,74.9,Away,VILLANOVA,Villanova
57.9,11,5.7,2,96.1,69.4,25,0.353,58,0.328,19,0.328,19,0.737,14,2,200,71.4,18.9,7,24,55,,5.2,4,0.379,22,0.136,3,43.8,32,0.41,20.4,17,36,0.444,16,0.0,0,"November 27, 2020",73.9,17,8.3,3,71.4,81.1,30,0.442,60,0.383,23,0.483,29,0.724,21,0,200,96.1,30.6,11,21,74,,9.1,7,0.417,25,0.28,7,56.2,41,0.502,16.1,14,35,0.457,16,1.0,1,"McKale Center, Tucson, Arizona",GRAMBLING,Grambling,76.9,Home,ARIZONA,Arizona
51.9,14,2.9,1,100.0,48.4,15,0.564,55,0.491,27,0.073,4,1.0,4,1,200,93.0,30.4,7,17,66,,16.9,12,0.382,21,0.381,8,40.7,22,0.58,29.7,24,34,0.559,19,0.0,0,"November 25, 2020",31.8,7,11.8,4,93.0,69.6,16,0.471,51,0.431,22,0.569,29,0.793,23,0,200,100.0,51.6,16,11,71,,18.3,13,0.333,17,0.235,4,59.3,32,0.548,23.0,19,34,0.529,18,1.0,1,"KFC Yum! Center, Louisville, Kentucky",PRAIRIE-VIEW,Prairie View,70.8,Home,ARKANSAS-LITTLE-ROCK,Little Rock
48.1,13,18.9,7,98.6,80.0,20,0.517,59,0.458,27,0.441,26,0.615,16,0,200,108.5,48.5,16,24,77,,12.7,9,0.441,26,0.269,7,62.1,36,0.54,19.4,17,33,0.606,20,1.0,1,"November 27, 2020",45.8,11,3.0,1,108.5,51.5,17,0.552,48,0.5,24,0.438,21,0.81,17,1,200,98.6,20.0,5,23,70,,12.7,9,0.229,11,0.455,5,37.9,22,0.604,21.8,16,37,0.514,19,0.5,1,"KFC Yum! Center, Louisville, Kentucky",ARKANSAS-LITTLE-ROCK,Little Rock,70.7,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro
33.3,6,10.0,3,125.3,61.3,19,0.295,66,0.273,18,0.394,26,0.692,18,1,200,72.2,28.9,13,26,57,,7.6,6,0.303,20,0.15,3,42.1,32,0.364,16.2,15,46,0.326,15,0.0,0,"November 25, 2020",69.0,20,21.7,10,72.2,71.1,32,0.607,56,0.518,29,0.768,43,0.721,31,0,200,125.3,38.7,12,23,99,,11.4,9,0.464,26,0.385,10,57.9,44,0.648,15.7,14,30,0.633,19,1.0,1,"Fiserv Forum, Milwaukee, Wisconsin",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,79.4,Home,MARQUETTE,Marquette
38.9,7,5.0,2,127.8,78.6,22,0.396,53,0.34,18,0.396,21,0.762,16,2,200,80.6,17.1,6,19,58,,4.2,3,0.264,14,0.429,6,44.4,28,0.461,19.4,15,39,0.308,12,0.0,0,"November 27, 2020",54.8,17,17.9,7,80.6,82.9,29,0.61,59,0.525,31,0.458,27,0.741,20,0,200,127.8,21.4,6,19,92,7,12.5,9,0.322,19,0.526,10,55.6,35,0.64,9.0,7,40,0.525,21,1.0,2,"Kohl Center, Madison, Wisconsin",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,72.4,Home,WISCONSIN,Wisconsin
38.1,8,9.8,4,89.7,83.3,30,0.409,55,0.382,21,0.418,23,0.478,11,1,200,71.8,17.6,6,13,56,,11.5,9,0.218,12,0.25,3,51.4,36,0.425,21.7,18,43,0.419,18,0.0,0,"November 27, 2020",55.2,16,23.3,10,71.8,82.4,28,0.477,66,0.439,29,0.136,9,0.778,7,0,200,89.7,16.7,6,17,70,,14.1,11,0.379,25,0.2,5,48.6,34,0.498,16.7,14,41,0.585,24,1.0,1,"Henderson Center, Huntington, West Virginia",ARKANSAS-STATE,Arkansas State,78.1,Home,MARSHALL,Marshall
52.2,12,13.0,6,163.2,48.6,18,0.41,72,0.319,23,0.083,6,0.5,3,1,200,71.3,23.9,11,26,62,,3.4,3,0.542,39,0.333,13,34.9,29,0.414,22.0,21,33,0.303,10,0.0,0,"November 25, 2020",54.2,26,12.1,4,71.3,76.1,35,0.674,86,0.558,48,0.384,33,0.788,26,0,200,163.2,51.4,19,12,142,,12.6,11,0.465,40,0.5,20,65.1,54,0.698,6.5,7,46,0.609,28,1.0,1,"Bud Walton Arena, Fayetteville, Arkansas",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,87.3,Home,ARKANSAS,Arkansas
47.6,10,6.1,2,95.8,71.4,25,0.379,58,0.362,21,0.224,13,0.769,10,1,200,75.0,27.0,10,17,54,,6.9,5,0.224,13,0.154,2,48.6,35,0.421,20.1,16,45,0.422,19,0.5,1,"November 28, 2020",43.5,10,17.8,8,75.0,73.0,27,0.473,55,0.418,23,0.473,26,0.654,17,0,200,95.8,28.6,10,14,69,,12.5,9,0.4,22,0.273,6,51.4,37,0.512,19.4,16,33,0.515,17,1.0,2,"Bud Walton Arena, Fayetteville, Arkansas",NORTH-TEXAS,North Texas,71.8,Home,ARKANSAS,Arkansas
